1	Jan	4958.495
2	Feb	6296.109
3	Mar	4176.275
4	Apr	4069.307
5	May	3667.06
6	Jun	5134.464
7	Jul	4876.689
8	Aug	6378.022
9	Sep	3948.865
10	Oct	2269.249
11	Nov	3743.514
12	Dec	4153.768
13	Jan	4411.528
14	Feb	4184.308
15	Mar	3815.894
16	Apr	4900.31
17	May	3743.779
18	Jun	4300.463
19	Jul	4870.894
20	Aug	6186.312
21	Sep	4124.377
22	Oct	6325.58
23	Nov	3746.895
24	Dec	4837.036
25	Jan	4584.145
26	Feb	2926.51
27	Mar	5382.753
28	Apr	6294.677
29	May	4660.388
30	Jun	5373.473
31	Jul	4615.895
32	Aug	5715.663
33	Sep	5459.815
34	Oct	4491.19
35	Nov	2906.891
36	Dec	5065.505
37	Jan	6956.353
38	Feb	3788.79
39	Mar	2829.19
40	Apr	3373.049
41	May	3464.408
42	Jun	5388.104
43	Jul	4703.31
44	Aug	5288.045
45	Sep	4856.949
46	Oct	4671.408
47	Nov	4402.583
48	Dec	6237.383
49	Jan	5085.704
50	Feb	5018.774
1	Mar	4682.502
2	Apr	5360.334
3	May	2403.402
4	Jun	3800.074
5	Jul	4387.093
6	Aug	2985.849
7	Sep	5688.774
8	Oct	6002.065
9	Nov	4128.514
10	Dec	5439.053
11	Jan	5118.753
12	Feb	3986.816
13	Mar	3797.684
14	Apr	3268.013
15	May	2884.248
16	Jun	3799.813
17	Jul	3838.683
18	Aug	4841.441
19	Sep	6344.43
20	Oct	5498.519
21	Nov	5215.92
22	Dec	6065.02
23	Jan	5257.249
24	Feb	3426.176
25	Mar	3912.281
26	Apr	3284.369
27	May	2930.115
28	Jun	4694.981
29	Jul	2785.12
30	Aug	4571.952
31	Sep	4175.441
32	Oct	3497.61
33	Nov	5617.268
34	Dec	4503.696
35	Jan	3979.922
36	Feb	4063.446
37	Mar	4558.096
38	Apr	3732.106
39	May	5232.865
40	Jun	5868.694
41	Jul	4140.851
42	Aug	5821.755
43	Sep	3907.407
44	Oct	5978.736
45	Nov	4544.449
46	Dec	3103.539
